,t.test_vs_MF,p.value_vs_MF,ddl_vs_MF,IC_vs_MF
temperature,1.6378599215,0.1015831143,2379.8897525312,-0.0814821362
temperaturelow,-9.2236398544,0,2379.5879480941,-2.4966969882
temperaturehigh,13.1250643749,0,2372.0306230238,3.1260504489
humidity,-1.482401232,0.1383665247,2369.8476320963,-1.1467878363
dewpoint,-0.0639321577,0.9490296178,2378.9365367975,-0.4302785066
pressure,0.3446623358,0.7303806833,2233.7353463561,-0.5406857229
windspeed,0.7336266759,0.4632486073,2378.3239627003,-0.0581114694
visibility,-92.4459467312,0,1369.8662405432,-15.1736562538
cloudcover,-18.459854303,0,2349.5543267544,-14.8825434635
windgust,29.0892904566,0,1644.3221065512,3.1246274751
precipintensity,-28.7670527883,0,1199.5653395735,-2.0373860169
