,moy_quant1,quant1_IC_bas,quant1_IC_haut,moy_quant2,quant2_IC_bas,quant2_IC_haut,moy_quant3,quant3_IC_bas,quant3_IC_haut
temperature_reporting,6.42,3.43,9.37,14.57,12.93,16.18,22.12,20,25
temperature_random,1.9,-1.36,4.62,11.62,9.81,13.51,22.19,19.04,25.18
temperaturelow_reporting,1.45,-1.46,4.31,9.35,7.92,10.77,16.39,14.16,18.55
temperaturelow_random,-2.15,-5.08,0.5,6.93,5.36,8.53,16.09,13.58,18.37
temperaturehigh_reporting,10.44,7.24,13.62,19.68,17.99,21.49,28.49,25.82,31.61
temperaturehigh_random,5.16,1.43,8.44,16.37,14.07,18.54,28.88,24.87,32.52
humidity_reporting,55.19,47.88,61.76,72.49,69.3,75.71,87.6,83.24,92.06
humidity_random,54.07,45,60.94,75.05,71.28,78.54,92.48,88,98
dewpoint_reporting,0.98,-1.84,3.7,8.85,7.35,10.18,15.63,14,17.28
dewpoint_random,-3.12,-7.05,0.16,6.44,4.61,8.17,15.15,12.96,17.18
pressure_reporting,1005.49,1000.24,1010.8,1016.91,1014.61,1019.14,1027.2,1023.26,1032.27
pressure_random,1004.28,996.88,1010.78,1017.78,1015.12,1020.3,1030.23,1025.45,1035.49
windspeed_reporting,1.19,0.81,1.56,2.98,2.54,3.45,5.74,4.37,7.71
windspeed_random,1.08,0.65,1.44,3.13,2.62,3.73,6.4,4.89,8.15
visibility_reporting,8.23,6.39,9.5,12.29,11.39,13.2,16.09,16.09,16.09
visibility_random,7.77,5.39,9.45,12.44,11.47,13.4,16.09,16.09,16.09
cloudcover_reporting,11.67,1.04,26.92,61.86,53.13,69.81,95.23,90.54,99
cloudcover_random,11.58,0.44,32.04,65.43,56.37,73.26,97.5,93,100
windgust_reporting,3.07,2.23,4,8.02,6.7,9.37,15.06,11.93,19.21
windgust_random,2.89,2.02,3.89,8.53,7.01,10.21,16.43,13.3,20.26
uvindex_reporting,1.05,0,2,4.43,3.78,5,7.71,7,9
uvindex_random,0.37,0,1,3.15,2.51,3.82,6.9,5.12,8.18
